,name,price,status,shipping,free_returns,items_sold
59,Milwaukee Framing Hammer Milled Face Magnetic Nail Set Straight Claw Tool 22 oz,3182,Brand New,0,False,0
60,"New ListingEarly 7"" Metal Tack Hammer  with Claw on Handle Antique / Vintage",2699,Pre-Owned,1165,True,
61,"Estwing Hard Face Sledge Hammer, Hickory Wood Handle ESH-W",7199,Brand New,,True,
62,"Vaughan 60203 Nail Hammer Handle,16 In Hickory",604,Brand New,500,True,59
63,Stanley Fmht51303  Fatmax Drywall Hammer 14 Oz,1799,Brand New,999,True,
64,13 Inch Cross Pein Hammer - PH-00435,950,Brand New,,False,118
65,ABN Dead Blow Hammer 1 lb Pound Mallet with Non-Marring Rubber Coating,1199,Brand New,,True,
66,"24 oz Rubber Mallet Hammer Fiberglass Grip Handle 12"" inch Length NEW",1550,Brand New,,True,193
67,Klutch Dead Blow Hammer - 37-Oz.,1999,Brand New,799,False,
68,7pc Fiberglass Auto Body Repair Tools Fender Tool Kit Hammer Dolly Dent Bender,2913,Brand New,0,True,2138
69,"Vaughan Fs999ml Rip Hammer,Fiberglass,20 Oz",2132,Brand New,500,True,
70,Curved Claw Hammer 16 OZ Fiberglass Handle Ripping Nails with Non Slip Grips,1595,Brand New,,False,247
71,"True Temper 2001200 Hammer Handle,Sledge,24 In. L",906,Brand New,500,True,
72,Milwaukee 48-22-9017 17 oz. Smooth Face Framing Hammer New,3959,Brand New,,True,21
73,Barco 7 Oz Hammer 08107 Wood Handle Claw Hammer Made In USA Tool Light Duty,1395,Open Box,0,False,
74,"Vaughan 60203 Nail Hammer Handle,16 In Hickory",604,Brand New,500,True,59
75,Plumb 11419 16 oz Regular Fiberglass Rip Claw Hammer,700,Brand New,900,False,
76,4 lb. Drilling Hammer W/ Fiberglass Handle! Shock Absorbent Rubber Grip! New! ,1548,Brand New,0,False,
77,"Stanley Urethane Dead Blow Hammer, 42 oz Head, Soft Face, 14-3/8"" Overall Length",3400,Brand New,0,False,
78,"New Hickory 10” Replacement Ball Pein, Ball Peen Hammer Handle With Wedges",995,Brand New,0,False,
79,"Vaughan Fs16 Claw Hammer,Fiberglass,16 Oz",2099,Brand New,,True,0
80,DeWALT DWHT51366 22-Ounce Multi-Functional Rip Claw Long Handle Demo Hammer,2999,Brand New,895,True,157
81,16oz Head Dead Blow Hammer Rubber Head ,1798,Brand New,,True,27
82,6 oz Mini Ball Peen Hammer,1144,Brand New,0,True,
83,VINTAGE ESTWING FRAMING HAMMER,1275,Pre-Owned,1595,False,
84,"True Temper 2036200 Hammer Handle,Sledge,36 In. L",1324,Brand New,500,True,58
85,45 oz. Dead-Blow Hammer,2699,Brand New,0,True,0
86,Set of 2 16 oz. Fiberglass Rip Hammer and Claw Hammer,2185,Brand New,,True,
87,KC Professional 96624 24 oz. Brick Hammer,1799,Brand New,0,True,
88,DEWALT 8 lbs. Exo-Core Sledge Hammer DWHT56028 New,4801,Brand New,,True,0
89,Estwing Hammertooth Hammer - 22 oz Straight Rip Claw with Smooth Face & Shock...,4331,Brand New,0,True,0
90,Stewart Framing Hammer Milled Face 20 oz. Steel Construction with a PVC handle,2599,Brand New,0,False,0
91,24 oz. Jacketed Fiberglass Brass Hammer TEKTON 30904,3224,Brand New,0,False,0
92,Nylon Domed Hammer,1410,Brand New,0,False,0
93,"New ListingGRIP Fiberglass Handle Ball Pein Hammer, 24-Ounce ",1795,Brand New,,True,
94,"Master Mechanic Tack Hammer, 5-oz.",1432,Brand New,0,True,
95,Klutch Brass Dead Blow Hammer - 24-Oz.,1199,Brand New,779,False,
96,Milwaukee 48-22-9016 17 oz. Milled Face Framing Hammer,3999,Brand New,0,True,0
97,Milwaukee 48-22-9016 17 oz Milled Face Framing Hammer New,3660,Brand New,,True,18
98,ABN Dead Blow Hammer Mallet 3-Piece Set with Non-Marring Rubber Coating,2699,Brand New,,True,
99,Milwaukee 48-22-9310 3 lbs Drilling Hammer w/ Milled/Smooth Face,1897,Brand New,895,True,155
100,Rare Keen Kutter True Temper Red Grip 16 Oz Straight Claw Hammer,5500,Pre-Owned,,True,
101,Makita 3/4 in. Variable-Speed Hammer Drill w/ Case HP2050R Certified Refurbished,6499,Certified - Refurbished,,True,0
102,New Listing5 Small Hammer Handles. 9-1/2”. Wood Tack Hammer Handles,800,Pre-Owned,705,False,
103,Coleman 24 Oz Fiberglass Composite Framing Hammer,1861,Brand New,0,True,
104,"IRWIN Tools 1954889 Fiberglass General Purpose Claw Hammer, 16 oz 16 ",1409,Brand New,0,True,
105,"Vaughan Sf6 Soft Face Hammer,6 Oz.,10-1/2"" L",1399,Brand New,500,True,137
106,New ListingWilton 30HRC 2-1/2lb head Unbreakable Sledge Hammer,3999,Pre-Owned,499,False,
107,2# 8 oz. Small Stubby Claw and Ball Pein Hammer Fiberglass Handle,1885,Brand New,,True,
108,Milwaukee Framing Hammer Milled Face Magnetic Nail Set Straight Claw Tool 22 oz,2999,Brand New,0,True,43
109,Rock Hammer,1680,Pre-Owned,,False,
110,12 oz. Double-Face Soft Hammer,1708,Brand New,0,False,0
111,MONOCEROS 16oz Claw Hammer Non-slip Shock Reduction Grip Multifunctional Hammer ,3288,Brand New,0,False,
112,"8 oz RUBBER  MALLET w/ WOOD HANDLE Hammer Grip 11"" Inch Length",795,Brand New,0,True,354
113,New DEWALT DCD709B ATOMIC 20V Brushless 1/2 in Hammer Drill/Driver + Free Gift *,7171,Brand New,,True,
114,Oval Faced 16 oz. Durable Single Piece Steel Rip Claw Hammer w Side Nail Puller,2785,Brand New,0,False,0
115,"Nupla Brass Hammer BRS15 Classic SG Grip 12"" Long Handle",2599,Brand New,,True,0
116,SNAP ON HBFE16 16 oz. DEAD BLOW HAMMER LIGHTLY USED U.S. MADE,1450,Pre-Owned,900,True,
117,New ListingVintage Craftsman Straight Claw Hammer 1lb10oz Total Genuine Cowhide Handle L@@K,2595,Pre-Owned,,True,
118,3lb. Drilling Hammer W/ Fiberglass Handle! Shock Absorbent Rubber Grip! New! ,1397,Brand New,0,False,
119,Fairmount Shrinking Hammer With Fiberglass Handle,3199,Brand New,0,False,
120,Dewalt Dwht51385  21 Oz. Fiberglass Framing Hammer,1999,Brand New,999,True,0
121,New ListingDead Blow Rubber Mallet Grip Handle Heavy-Duty Sheet Metal Upholstery (1- lb),1895,Brand New,0,True,
122,16 oz. Brass Hammer with Fiberglass Handle 1 lb.Brass Hammer,2360,Brand New,0,False,0
123,"HICKORY 10-1/2"" MINI SLEDGE HAMMER HANDLE Fire Finish & Lacquered, Amish Made",1099,Brand New,399,False,108
124,Vintage ATHA Creasing and Bordering Hammer Head. Circa 1884-1913,2200,Pre-Owned,900,False,
125,Milwaukee Poly Fiberglass Handle Hammer 19 oz Smooth Face w 15 Inch Pry Bar Tool,3999,Brand New,0,True,0
126,California Framing Hammer - 18 or 22 Ounce - Ox Tools,3280,Brand New,699,False,0
127,Vintage CRAFTSMAN 12 Oz. Soft Face rubber plastic Hammer USA ,1499,Pre-Owned,925,True,
128,16 oz. Steel Rip Claw Nailing Hammer,2543,Brand New,0,False,0
129,"vintage Sampson curved claw  nail hammer,  made in USA,  21 oz. total weight",1498,Pre-Owned,950,False,
130,Emergency Escape Tool Auto Car Window Glass Hammer Breaker and Seat Belt Cutter,999,Brand New,,False,832
131,Dent Puller Slide Hammer Kit 9pc 5lb Auto Body Repair Tool Sliding Work NEW,2127,Brand New,0,True,2542
132, 8 oz. Small Stubby Claw Hammer Fiberglass Handle,985,Brand New,,True,
133,Klutch Dead Blow Hammer - 4-Lb.,2299,Brand New,849,False,0
134,"12 ounce Tinner's Riveting Hammer 12"" Hickory Handle 12 oz. Vaughan TR-12",2497,Brand New,,True,
135,New ListingVintage True Temper No. 1640 Ball Peen Hammer 3 lbs. Blacksmith Tool,2500,Pre-Owned,1831,True,
136,KC Professional 96624 24 oz. Brick Hammer,1799,Brand New,0,True,
137,Nylon Tapping Hammer (Pack of: 1) - PH-18342,1240,Brand New,,False,
138,"HART 21  FRAMER FORGED USA Framing Hammer,Milled Face 18 3/16"" over all.",2000,Pre-Owned,1154,False,
139,"Vaughan 63035 Drilling Hammer Handle,10 1/2 In Hickory",657,Brand New,500,True,
140,Milwaukee 48-22-9316 19 oz. Smooth Face Poly/Fiberglass Handle Hammer,3379,Brand New,0,True,0
141,"3 ANTIQUE 1800's STEEL HAMMER HEADS - COBBLER HAMMER, TACK HAMMER & CLAW HAMMER",3995,Pre-Owned,0,True,
142,5 small hammer handles. 12”. Wood. Flaws. Second quality Tack Hammer,900,Brand New,999,False,
143,DeWalt DCD996B 20V Max XR Brushless Cordless 1/2 Hammer Drill (Bare-Tool) New,10899,Brand New,0,True,0
144,Antique ATHA Blacksmith Straight Peen Sledge Hammer Stone Mason 3lb Old Tool,2995,Pre-Owned,,True,
